aa,0.00
abaca,0.00
abaissa,18.04
abaissai,18.04
abaissaient,18.04
abaissait,18.04
abaissant,0.27
abaissante,0.27
abaisse,0.00
abaisse-langue,0.14
abaissement,2.16
abaissent,18.04
abaisser,18.04
abaissera,18.04
abaisserai,18.04
abaisseraient,18.04
abaisserais,18.04
abaisserait,18.04
abaisses,18.04
abaissez,18.04
abaissons,18.04
abaissèrent,18.04
abaissé,18.04
abaissée,18.04
abaissées,18.04
abaissés,18.04
abalone,0.07
abalones,0.07
abandon,27.36
abandonna,128.45
abandonnai,128.45
abandonnaient,128.45
abandonnais,128.45
abandonnait,128.45
abandonnant,128.45
abandonnas,128.45
abandonne,128.45
abandonnent,128.45
abandonner,128.45
abandonnera,128.45
abandonnerai,128.45
abandonneraient,128.45
abandonnerais,128.45
abandonnerait,128.45
abandonneras,128.45
abandonnerez,128.45
abandonneriez,128.45
abandonnerions,128.45
abandonnerons,128.45
abandonneront,128.45
abandonnes,128.45
abandonneurs,0.07
abandonnez,128.45
abandonniez,128.45
abandonnions,128.45
abandonnique,0.07
abandonnons,128.45
abandonnâmes,128.45
abandonnât,128.45
abandonnèrent,128.45
abandonné,128.45
abandonnée,128.45
abandonnées,128.45
abandonnés,128.45
abandons,27.36
abaque,0.07
abasourdi,2.64
abasourdie,2.64
abasourdir,2.97
abasourdis,2.64
abasourdissant,0.07
abasourdissants,0.07
abat,1.01
abat-jour,8.24
abat-son,0.27
abatage,0.07
abatis,0.88
abats,1.01
abattage,1.28
abattages,1.28
abattaient,50.61
abattais,50.61
abattait,50.61
abattant,0.61
abattants,0.61
abatte,50.61
abattement,2.64
abattements,2.64
abattent,50.61
abattes,50.61
abatteur,0.27
abatteurs,0.27
abattez,50.61
abattiez,50.61
abattions,50.61
abattirent,50.61
abattis,1.08
abattit,50.61
abattoir,4.66
abattoirs,4.66
abattons,50.61
abattra,50.61
abattrai,50.61
abattraient,50.61
abattrais,50.61
abattrait,50.61
abattras,50.61
abattre,50.61
abattrez,50.61
abattriez,50.61
abattrons,50.61
abattront,50.61
abattu,50.61
abattue,50.61
abattues,50.61
abattures,0.14
abattus,50.61
abbatial,0.61
abbatiale,0.61
abbatiales,0.61
abbaye,3.78
abbayes,3.78
abbesse,33.51
abbesses,33.51
abbé,33.51
abbés,33.51
abc,0.00
abcès,3.31
abdication,1.96
abdications,1.96
abdiqua,2.77
abdiquai,2.77
abdiquaient,2.77
abdiquais,2.77
abdiquait,2.77
abdiquant,2.77
abdique,2.77
abdiquer,2.77
abdiquera,2.77
abdiquerais,2.77
abdiquerait,2.77
abdiquez,2.77
abdiqué,2.77
abdiquée,2.77
abdomen,1.55
abdominal,0.74
abdominale,0.74
abdominales,0.74
abdominaux,0.74
abdos,0.00
abducteur,0.00
abduction,0.00
abeille,9.86
abeilles,9.86
aber,0.00
aberrant,2.50
aberrante,2.50
aberrantes,2.50
aberrants,2.50
aberration,4.46
aberrations,4.46
abhorrais,1.35
abhorrait,1.35
abhorrant,1.35
abhorre,1.35
abhorrer,1.35
abhorrez,1.35
abhorré,1.35
abhorrée,1.35
abhorrés,1.35
abject,3.92
